#    energy (eV)  cross sec. (b)
4.658594e+01    7.206158e+01
4.660156e+01    6.904404e+01
4.662344e+01    6.530174e+01
4.664453e+01    6.213813e+01
4.666562e+01    5.933661e+01
4.668672e+01    5.683895e+01
4.670781e+01    5.459882e+01
4.673167e+01    5.232921e+01
4.676104e+01    4.985806e+01
4.679042e+01    4.768531e+01
4.681979e+01    4.576148e+01
4.685896e+01    4.351718e+01
4.690004e+01    4.148634e+01
4.694304e+01    3.964838e+01
4.698605e+01    3.805077e+01
4.702905e+01    3.665119e+01
4.707406e+01    3.536253e+01
4.712107e+01    3.417699e+01
4.719159e+01    3.264934e+01
4.726553e+01    3.130520e+01
4.734632e+01    3.007137e+01
4.742710e+01    2.902957e+01
4.751473e+01    2.807008e+01
4.757544e+01    2.748984e+01
4.769684e+01    2.649434e+01
4.781179e+01    2.571218e+01
4.792673e+01    2.504994e+01
4.808861e+01    2.427281e+01
4.825912e+01    2.360260e+01
4.845575e+01    2.296839e+01
4.867850e+01    2.238116e+01
4.894091e+01    2.181760e+01
4.924297e+01    2.129080e+01
4.956822e+01    2.082631e+01
5.009086e+01    2.022905e+01
5.062088e+01    1.974733e+01
5.115588e+01    1.934319e+01
5.187760e+01    1.888451e+01
5.297801e+01    1.830770e+01
5.448341e+01    1.766099e+01
5.642683e+01    1.696682e+01
5.884892e+01    1.623189e+01
6.180490e+01    1.545567e+01
6.582834e+01    1.453201e+01
6.962257e+01    1.375713e+01
7.137344e+01    1.346555e+01
7.198616e+01    1.340582e+01
7.232482e+01    1.339694e+01
7.272322e+01    1.342711e+01
7.305965e+01    1.351190e+01
7.334674e+01    1.366077e+01
7.351362e+01    1.380006e+01
7.367236e+01    1.398722e+01
7.382293e+01    1.423539e+01
7.395925e+01    1.454555e+01
7.408131e+01    1.492241e+01
7.416873e+01    1.527243e+01
7.424789e+01    1.566709e+01
7.432705e+01    1.615901e+01
7.440070e+01    1.673214e+01
7.444796e+01    1.717556e+01
7.449523e+01    1.769332e+01
7.454249e+01    1.830256e+01
7.459162e+01    1.905725e+01
7.462847e+01    1.972458e+01
7.466532e+01    2.049998e+01
7.470217e+01    2.140912e+01
7.473902e+01    2.248666e+01
7.476480e+01    2.336537e+01
7.479058e+01    2.437125e+01
7.481635e+01    2.553230e+01
7.484213e+01    2.688493e+01
7.485932e+01    2.791602e+01
